MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972733,37.7925900,3.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.0270000,12.2275648,15.7011023,-3.0384288
MsgID.LOCAL_VELOCITY,31.0270000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972746,37.7925881,3.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.2780000,12.0146627,15.5893288,-3.0043898
MsgID.LOCAL_VELOCITY,31.2780000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972724,37.7925885,2.9720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.5270000,12.0612898,15.7803125,-2.9725094
MsgID.LOCAL_VELOCITY,31.5270000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972716,37.7925886,2.9470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,31.7780000,12.0717430,15.8492899,-2.9472759
MsgID.LOCAL_VELOCITY,31.7780000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972733,37.7925876,2.9310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.0280000,11.9579744,15.7010078,-2.9315274
MsgID.LOCAL_VELOCITY,32.0280000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972748,37.7925889,2.9240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.2790000,12.1054707,15.5721445,-2.9240134
MsgID.LOCAL_VELOCITY,32.2790000,-0.0003839,0.0001758,0.0000022
MsgID.GLOBAL_POSITION,0.0000000,-122.3972726,37.7925893,2.9210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.5290000,12.1542645,15.7676468,-2.9216383
MsgID.LOCAL_VELOCITY,32.5290000,-0.0003802,0.0001734,-0.0000865
MsgID.GLOBAL_POSITION,0.0000000,-122.3972720,37.7925889,2.9210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,32.7780000,12.1110525,15.8200283,-2.9217601
MsgID.LOCAL_VELOCITY,32.7780000,-0.0002578,0.0001508,0.0001142
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972713,37.7925889,2.9220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.0290000,12.1088924,15.8756065,-2.9228840
MsgID.LOCAL_VELOCITY,33.0290000,-0.0003804,0.0001834,-0.0001364
MsgID.GLOBAL_POSITION,0.0000000,-122.3972729,37.7925882,2.9240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.2790000,12.0293770,15.7345591,-2.9247408
MsgID.LOCAL_VELOCITY,33.2790000,-0.0003950,0.0002025,-0.0000682
MsgID.GLOBAL_POSITION,0.0000000,-122.3972733,37.7925881,2.9280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.5290000,12.0123672,15.7004595,-2.9281180
MsgID.LOCAL_VELOCITY,33.5290000,-0.0003930,0.0001832,-0.0000947
MsgID.GLOBAL_POSITION,0.0000000,-122.3972731,37.7925900,2.9340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,33.7790000,12.2258625,15.7227173,-2.9346886
MsgID.LOCAL_VELOCITY,33.7790000,-0.0003885,0.0001858,-0.0000036
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3972729,37.7925891,2.9460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,34.0290000,12.1290512,15.7344913,-2.9469154
